conversationId,turnNumber,utteranceId,utterance,authorRole,Label,kiara,jack,shriya
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,0,acs-257b8aa9-7ef3-4c78-af09-b031de7032a6,hello good morning have a nice day,customer,conventional opening,fp,fp,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,1,acs-2f1093f6-9e8e-484f-817b-99c1f657428f,Hello! Welcome to ACS Software Solutions. How may I help you today?,agent,"conventional opening, wh-question, open-question","fp, qw, qo",fp,Fp
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,2,acs-fae9e6c2-026e-417d-8624-3dec772c3681,my name is martin,customer,statement-non-opinion,sd,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,3,acs-f2dafe35-f5c3-4dc1-a074-f075172636b8,am working at out look,customer,statement-non-opinion,sd,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,4,acs-90c50db3-782c-472d-975c-ea5f415517d5,"Nice yo meet you, Martin! Could you share your query, please?",agent,"3rd-party-talk, open-question, wh-question","t3, qo, qw",ba qo,Qy
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,5,acs-b459ebf5-ebbf-4ff9-b783-134ad776209a,and my skype application was an some problem,customer,statement-non-opinion,sd,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,6,acs-5db67e01-4af7-4b05-83df-3c32f087d561,"Okay, could you tell me as to what the problem is?",agent,"response acknowledgement, open-question, yes-no-question, wh-question","bk, qo, qy, qw",qw,"Bk, Qo"
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,7,acs-6dde696d-8a81-459a-8c54-f97f1339a2cb,the application is not running,customer,statement-non-opinion,sd,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,8,acs-3553fe01-582f-4063-9af5-ac6b75965ea5,"Okay, I'll do my best to help. Could you share your name and account number?",agent,"response acknowledgement, other, yes-no-question, open-question, wh-question","bk, oo, qy, qo, qw",ba qo,"Bk, Qo"
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,9,acs-816c4638-f8ca-4db4-bf55-2886f28517df,my name is martin and my account numeber is 1445,customer,statement-non-opinion,sd,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,10,acs-1b963550-fabd-4af9-aeb1-300f502e87f7,"Sure, thanks! Could you also share the name of you company?",agent,"response acknowledgement, thanking, open-question, wh-question, yes-no-question","bk, ft, qo, qw, qy",ba qo,Qo
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,11,acs-a8bc9716-88fe-4753-9644-cecb214a0216,my company name is outlook,customer,statement-non-opinion,sd,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,12,acs-a8fbaac9-26b1-4404-85f4-a39d514d6971,outlook software company,customer,repeat-phrase,b^r,sd,Sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,13,acs-b215af6c-c96b-4ce4-a46b-8295ccc86972,Oh yes! Thanks again! Could you check and tell me if you're using the latest version of this application?,agent,"response acknowledgement, thanking, yes-no-question, open-question","bk, ft, qy, qo",ba qy^d,"Bk, qy^d"
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,14,acs-6513e320-ab7b-468f-bd9d-d51b3062beb7,yes am not using latest version application,customer,"yes answer, no answer","aa, na",nn,sd
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,15,acs-ff4554c4-41ad-429a-95dc-5b0afeb9e739,"I suggest you to upgrade to the latest version right away. Otherwise, you'll be facing these issue. Could you please upgrade and let me know if the application is responding?",agent,"action directive, other, yes-no-question, open-question","ad, oo, qy, qo",sv sd qy,"Ad, qy^d"
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,16,acs-d7c6db95-423a-4299-a2ae-5308fa349d21,yes okay i will do my updation process,customer,"yes answer, response acknowledgement, open-question, yes-no-question","aa, bk, qo, qy",ny,"Bk, sd"
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,17,acs-a48c7bdd-0764-41a8-b2c5-818a1a382690,"Sure, could you tell me if you're able to run the application without any errors?",agent,"acknowledge (backchannel), open-question, yes-no-question","bk, qo, qy",qy,Qy
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,18,acs-7e21ba22-319d-4637-8a5a-f117d2742d2f,yes now updated version is running normally,customer,"yes answer, statement-non-opinion","aa, sd",ny,"Ny, sd"
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,19,acs-be59d7ab-137b-42f5-8ec7-86de4031c6f6,Great! Would you need anything else?,agent,"agree/accept, wh-question, yes-no-question, open question","aa, qw, qy, qo",ba qo,Qy
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,20,acs-f856a82c-3ef2-4a81-9346-d8b1f9fd59b3,nothing,customer,no answer,na,nn,Ar
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,21,acs-3fe6860b-2490-468f-ba69-03b86e717de4,It was a pleasure to assist you today. Have a wonderful day!,agent,"statement-opinion, conventional-closing","sv, fc",fc fc,Sd
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,0,acs-bdcc89ca-c1bf-42c1-b4f2-c9b5487f3b3a,Hello,customer,conventional-opening,fp,fp,Fp
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,1,acs-932cccbc-881a-4ab3-868e-c9716f1ebc2d,Hello! Welcome to ACS Software Solutions. How may I help you today?,agent,"conventional-opening, open-question, wh-question","fp, qo, qw",fp sd qw,Qo
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,2,acs-f63a4730-a0c8-4ab6-b98c-2e188ddc97d6,Hey Charlie.  I'm having issues with Skype.  I think an update failed.,customer,"conventional-opening, statement-non-opinion, statement-opinion","fp, sd, sv",fp sd sd,Sd
