folder,dialogueID,date,from,to,utterance,label,kiara,jack,shriya
99,92.tsv,2005-01-06T17:57:00.000Z,techn9ne,,do i have to manually delte the files it created?,yes-no-question,qy,qy,Qy
99,92.tsv,2005-01-06T17:58:00.000Z,techn9ne,,yea that didnt work...,reject,ng,h,h
99,92.tsv,2005-01-06T17:59:00.000Z,housetier,techn9ne,when you installed the deb were there any error messages?,yes-no-question,qy,qy,qy
99,92.tsv,2005-01-06T17:59:00.000Z,techn9ne,,yes it was complaining i didnt have lpd,"yes answers, statement-non-opinion","aa, sd",sd,bk
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,/var/lib/dpkg/info/mfc4800lpr.postrm: line 3: /etc/init.d/lpd: No such file or directory,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,dpkg: warning - old post-removal script returned error exit status 127,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,dpkg - trying script from the new package instead ...,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,/var/lib/dpkg/tmp.ci/postrm: line 3: /etc/init.d/lpd: No such file or directory,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,dpkg: error processing mfc4800lpr-1.1.2-1.i386.deb (--install):,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,subprocess new post-removal script returned error exit status 127,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,/var/lib/dpkg/tmp.ci/postrm: line 3: /etc/init.d/lpd: No such file or directory,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,dpkg: error while cleaning up:,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,subprocess post-removal script returned error exit status 127,other,oo,sd,Oo
99,92.tsv,2005-01-06T06:00:00.000Z,housetier,techn9ne,and when you installed it?,"open-question, WH-Question","qo, qw",qo,Qo
99,92.tsv,2005-01-06T06:00:00.000Z,techn9ne,,thats what it said...,statement-non-opinion,sd,h,Sd
